virus,host,Correlation,HostCount,VirusCount,CoOccurrence
Erysiphe necator associated totivirus 8,capsicum,-0.024379666086389994,61,8,0
Eupatorium vein clearing virus,capsicum,-0.024379666086389987,61,8,0
Geotrichum candidum totivirus 2,capsicum,-0.024379666086389983,61,8,0
Watanabevirus wv3521,capsicum,-0.024379666086389983,61,8,0
Caulimovirus venafragariae,capsicum,-0.024379666086389976,61,8,0
Mitoviridae sp.,capsicum,-0.024379666086389976,61,8,0
Cotton leaf curl Gezira alphasatellite,capsicum,-0.024379666086389973,61,8,0
Mirabilis mosaic virus,capsicum,-0.02437966608638997,61,8,0
Tomato fruit blotch virus,capsicum,-0.02437966608638996,61,8,0
Partitiviridae sp.,ipomaea batatas,-0.024263541008476226,33,15,0
Tomato mosaic virus,ipomaea batatas,-0.02426354100847622,33,15,0
Sweet potato collusive virus,phalaenopsis,-0.024198445441870022,19,26,0
Red clover bacilliform virus,phalaenopsis,-0.02419844544187002,19,26,0
Solendovirus venanicotianae,solanum tuberosum,-0.024187448344153203,29,17,0
Bacopa chlorosis virus,cucumis sativus,-0.023914335132647988,21,23,0
Tomato brown rugose fruit virus,hibiscus rosa sinensis,-0.02387993738664747,15,32,0
Dahlia mosaic virus,capsicum annuum,-0.023793589561870568,34,14,0
Plasmopamonavirus plasmoparae,solanum lycopersicum,-0.02374235372369708,141,3,0
Schlumbergera virus X,solanum lycopersicum,-0.02374235372369708,141,3,0
cotton virus A,solanum lycopersicum,-0.02374235372369708,141,3,0
Badnavirus decoloratiovitis,solanum lycopersicum,-0.023742353723697075,141,3,0
Clover yellow mosaic virus,solanum lycopersicum,-0.023742353723697075,141,3,0
Ocimum basilicum RNA virus 1,solanum lycopersicum,-0.023742353723697075,141,3,0
Penicillium vanoranjei associated RNA virus 1,solanum lycopersicum,-0.023742353723697075,141,3,0
Badnavirus betacolocalasiae,solanum lycopersicum,-0.023742353723697072,141,3,0
Carlavirus PaMMaV,solanum lycopersicum,-0.023742353723697072,141,3,0
Erysiphe necator associated ambiguivirus 2,solanum lycopersicum,-0.023742353723697072,141,3,0
Orthodiscovirus hispaniae,solanum lycopersicum,-0.023742353723697072,141,3,0
Panax cryptic virus 4,solanum lycopersicum,-0.023742353723697072,141,3,0
Redbank virus,solanum lycopersicum,-0.023742353723697072,141,3,0
Aspergillus fumigatus narnavirus 2,solanum lycopersicum,-0.02374235372369707,141,3,0
Badnavirus vitis,solanum lycopersicum,-0.02374235372369707,141,3,0
Bemisia tabaci dicistro-like virus 1,solanum lycopersicum,-0.02374235372369707,141,3,0
Betacarmovirus hibisci,solanum lycopersicum,-0.02374235372369707,141,3,0
Betanecrovirus nicotianae,solanum lycopersicum,-0.02374235372369707,141,3,0
Blueberry virus L,solanum lycopersicum,-0.02374235372369707,141,3,0
